2024-08-19 11:23:36, Temp: 51.6°C, Freq: 1800.457088 MHz
2024-08-19 11:24:36, Temp: 51.1°C, Freq: 1800.457088 MHz
2024-08-19 11:25:36, Temp: 51.6°C, Freq: 1800.404352 MHz
2024-08-19 11:26:36, Temp: 50.6°C, Freq: 1800.404352 MHz
2024-08-19 11:27:36, Temp: 51.1°C, Freq: 1800.457088 MHz
2024-08-19 11:28:36, Temp: 52.1°C, Freq: 1800.457088 MHz
2024-08-19 11:29:36, Temp: 53.0°C, Freq: 1800.457088 MHz
2024-08-19 11:30:36, Temp: 53.0°C, Freq: 1800.404352 MHz
2024-08-19 11:31:36, Temp: 52.1°C, Freq: 1800.457088 MHz
2024-08-19 11:32:36, Temp: 52.1°C, Freq: 1800.457088 MHz
2024-08-19 11:33:36, Temp: 53.5°C, Freq: 1800.404352 MHz
2024-08-19 11:34:36, Temp: 52.5°C, Freq: 1800.404352 MHz
2024-08-19 11:35:36, Temp: 53.0°C, Freq: 1800.457088 MHz
2024-08-19 11:36:36, Temp: 54.0°C, Freq: 1800.457088 MHz
2024-08-19 11:37:36, Temp: 52.5°C, Freq: 1800.457088 MHz
2024-08-19 11:38:36, Temp: 54.0°C, Freq: 1800.457088 MHz
2024-08-19 11:39:36, Temp: 54.5°C, Freq: 1800.457088 MHz
2024-08-19 11:40:36, Temp: 55.0°C, Freq: 1800.404352 MHz
2024-08-19 11:41:36, Temp: 55.0°C, Freq: 1800.457088 MHz
2024-08-19 11:42:36, Temp: 54.0°C, Freq: 1800.457088 MHz
2024-08-19 11:43:37, Temp: 54.5°C, Freq: 1800.457088 MHz
2024-08-19 11:44:37, Temp: 54.0°C, Freq: 1800.457088 MHz
2024-08-19 11:45:37, Temp: 55.0°C, Freq: 1800.404352 MHz
2024-08-19 11:46:37, Temp: 54.5°C, Freq: 1800.457088 MHz
2024-08-19 11:47:37, Temp: 54.5°C, Freq: 1800.457088 MHz
2024-08-19 11:48:37, Temp: 56.0°C, Freq: 1800.457088 MHz
2024-08-19 11:49:37, Temp: 55.0°C, Freq: 1800.457088 MHz
2024-08-19 11:50:37, Temp: 55.0°C, Freq: 1800.457088 MHz
2024-08-19 11:51:37, Temp: 56.0°C, Freq: 1800.457088 MHz
2024-08-19 11:52:37, Temp: 55.5°C, Freq: 1800.457088 MHz
2024-08-19 11:53:37, Temp: 56.0°C, Freq: 1800.404352 MHz
2024-08-19 11:54:37, Temp: 56.0°C, Freq: 1800.457088 MHz
2024-08-19 11:55:37, Temp: 55.5°C, Freq: 1800.404352 MHz
2024-08-19 11:56:37, Temp: 56.0°C, Freq: 1800.457088 MHz
2024-08-19 11:57:37, Temp: 56.9°C, Freq: 1800.457088 MHz
2024-08-19 11:58:37, Temp: 56.4°C, Freq: 1800.457088 MHz
2024-08-19 11:59:37, Temp: 56.0°C, Freq: 1800.457088 MHz
2024-08-19 12:00:37, Temp: 57.4°C, Freq: 1800.457088 MHz
2024-08-19 12:01:37, Temp: 57.4°C, Freq: 1800.457088 MHz
2024-08-19 12:02:37, Temp: 56.4°C, Freq: 1800.457088 MHz
2024-08-19 12:03:37, Temp: 57.4°C, Freq: 1800.404352 MHz
2024-08-19 12:04:37, Temp: 56.9°C, Freq: 1800.457088 MHz
2024-08-19 12:05:37, Temp: 56.0°C, Freq: 1800.404352 MHz
2024-08-19 12:06:37, Temp: 58.4°C, Freq: 1800.457088 MHz
2024-08-19 12:07:37, Temp: 57.4°C, Freq: 1800.457088 MHz
2024-08-19 12:08:37, Temp: 59.4°C, Freq: 1800.457088 MHz
2024-08-19 12:09:37, Temp: 57.4°C, Freq: 1800.457088 MHz
2024-08-19 12:10:37, Temp: 56.9°C, Freq: 1800.404352 MHz
2024-08-19 12:11:37, Temp: 57.9°C, Freq: 1800.404352 MHz
2024-08-19 12:12:37, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-19 12:13:37, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-19 12:14:37, Temp: 59.4°C, Freq: 1800.457088 MHz
2024-08-19 12:15:37, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-19 12:16:37, Temp: 59.4°C, Freq: 1800.457088 MHz
2024-08-19 12:17:37, Temp: 57.9°C, Freq: 1800.404352 MHz
2024-08-19 12:18:37, Temp: 59.4°C, Freq: 1800.457088 MHz
2024-08-19 12:19:37, Temp: 59.4°C, Freq: 1800.404352 MHz
2024-08-19 12:20:37, Temp: 60.3°C, Freq: 1800.404352 MHz
2024-08-19 12:21:37, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-19 12:22:37, Temp: 59.4°C, Freq: 1800.404352 MHz
2024-08-19 12:23:37, Temp: 59.4°C, Freq: 1800.457088 MHz
2024-08-19 12:24:38, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-19 12:25:38, Temp: 59.4°C, Freq: 1800.404352 MHz
2024-08-19 12:26:38, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-19 12:27:38, Temp: 59.4°C, Freq: 1800.457088 MHz
2024-08-19 12:28:38, Temp: 59.4°C, Freq: 1800.404352 MHz
2024-08-19 12:29:38, Temp: 59.4°C, Freq: 1800.404352 MHz
2024-08-19 12:30:38, Temp: 59.4°C, Freq: 1800.404352 MHz
2024-08-19 12:31:38, Temp: 59.4°C, Freq: 1800.457088 MHz
2024-08-19 12:32:38, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-19 12:33:38, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 12:34:38, Temp: 59.9°C, Freq: 1800.457088 MHz
2024-08-19 12:35:38, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 12:36:38, Temp: 59.4°C, Freq: 1800.457088 MHz
2024-08-19 12:37:38, Temp: 58.9°C, Freq: 1800.404352 MHz
2024-08-19 12:38:38, Temp: 59.9°C, Freq: 1800.457088 MHz
2024-08-19 12:39:38, Temp: 60.8°C, Freq: 1800.404352 MHz
2024-08-19 12:40:38, Temp: 58.9°C, Freq: 1800.404352 MHz
2024-08-19 12:41:38, Temp: 59.9°C, Freq: 1800.457088 MHz
2024-08-19 12:42:38, Temp: 58.9°C, Freq: 1800.404352 MHz
2024-08-19 12:43:38, Temp: 59.4°C, Freq: 1800.457088 MHz
2024-08-19 12:44:38, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-19 12:45:38, Temp: 59.4°C, Freq: 1800.457088 MHz
2024-08-19 12:46:38, Temp: 59.9°C, Freq: 1800.457088 MHz
2024-08-19 12:47:38, Temp: 59.9°C, Freq: 1800.457088 MHz
2024-08-19 12:48:38, Temp: 59.9°C, Freq: 1800.457088 MHz
2024-08-19 12:49:38, Temp: 59.9°C, Freq: 1800.404352 MHz
2024-08-19 12:50:38, Temp: 59.9°C, Freq: 1800.404352 MHz
2024-08-19 12:51:38, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 12:52:38, Temp: 59.9°C, Freq: 1800.457088 MHz
2024-08-19 12:53:38, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 12:54:38, Temp: 59.9°C, Freq: 1800.457088 MHz
2024-08-19 12:55:38, Temp: 61.3°C, Freq: 1800.457088 MHz
2024-08-19 12:56:38, Temp: 61.3°C, Freq: 1800.404352 MHz
2024-08-19 12:57:38, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 12:58:38, Temp: 60.3°C, Freq: 1800.404352 MHz
2024-08-19 12:59:38, Temp: 58.9°C, Freq: 1800.404352 MHz
2024-08-19 13:00:38, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-19 13:01:39, Temp: 60.3°C, Freq: 1800.404352 MHz
2024-08-19 13:02:39, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 13:03:39, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 13:04:39, Temp: 59.9°C, Freq: 1800.404352 MHz
2024-08-19 13:05:39, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 13:06:39, Temp: 61.3°C, Freq: 1800.457088 MHz
2024-08-19 13:07:39, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 13:08:39, Temp: 60.3°C, Freq: 1800.457088 MHz
2024-08-19 13:09:39, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-19 13:10:39, Temp: 60.8°C, Freq: 1800.457088 MHz
