2024-08-26 08:05:16, Temp: 37.0°C, Freq: 1800.457088 MHz
2024-08-26 08:06:16, Temp: 41.8°C, Freq: 1800.404352 MHz
2024-08-26 08:07:16, Temp: 43.3°C, Freq: 1800.457088 MHz
2024-08-26 08:08:16, Temp: 45.2°C, Freq: 1800.457088 MHz
2024-08-26 08:09:16, Temp: 44.8°C, Freq: 1800.457088 MHz
2024-08-26 08:10:16, Temp: 45.7°C, Freq: 1800.457088 MHz
2024-08-26 08:11:16, Temp: 45.7°C, Freq: 1800.457088 MHz
2024-08-26 08:12:16, Temp: 47.7°C, Freq: 1800.457088 MHz
2024-08-26 08:13:16, Temp: 47.2°C, Freq: 1800.404352 MHz
2024-08-26 08:14:16, Temp: 47.2°C, Freq: 1800.404352 MHz
2024-08-26 08:15:16, Temp: 47.7°C, Freq: 1800.404352 MHz
2024-08-26 08:16:16, Temp: 47.7°C, Freq: 1800.457088 MHz
2024-08-26 08:17:16, Temp: 47.2°C, Freq: 1800.457088 MHz
2024-08-26 08:18:16, Temp: 47.7°C, Freq: 1800.457088 MHz
2024-08-26 08:19:16, Temp: 48.2°C, Freq: 1800.404352 MHz
2024-08-26 08:20:16, Temp: 48.7°C, Freq: 1800.404352 MHz
2024-08-26 08:21:16, Temp: 48.2°C, Freq: 1800.404352 MHz
2024-08-26 08:22:16, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-26 08:23:16, Temp: 49.6°C, Freq: 1800.404352 MHz
2024-08-26 08:24:16, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-26 08:25:16, Temp: 50.6°C, Freq: 1800.404352 MHz
2024-08-26 08:26:16, Temp: 50.1°C, Freq: 1800.457088 MHz
2024-08-26 08:27:16, Temp: 50.6°C, Freq: 1800.404352 MHz
2024-08-26 08:28:16, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-26 08:29:16, Temp: 48.7°C, Freq: 1800.404352 MHz
2024-08-26 08:30:16, Temp: 50.1°C, Freq: 1800.404352 MHz
2024-08-26 08:31:17, Temp: 49.6°C, Freq: 1800.404352 MHz
2024-08-26 08:32:17, Temp: 49.6°C, Freq: 1800.404352 MHz
2024-08-26 08:33:17, Temp: 49.6°C, Freq: 1800.404352 MHz
2024-08-26 08:34:17, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-26 08:35:17, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-26 08:36:17, Temp: 52.1°C, Freq: 1800.404352 MHz
2024-08-26 08:37:17, Temp: 50.6°C, Freq: 1800.404352 MHz
2024-08-26 08:38:17, Temp: 51.6°C, Freq: 1800.457088 MHz
2024-08-26 08:39:17, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-26 08:40:17, Temp: 50.6°C, Freq: 1800.457088 MHz
2024-08-26 08:41:17, Temp: 51.1°C, Freq: 1800.457088 MHz
2024-08-26 08:42:17, Temp: 50.6°C, Freq: 1800.404352 MHz
2024-08-26 08:43:17, Temp: 50.1°C, Freq: 1800.457088 MHz
2024-08-26 08:44:17, Temp: 51.6°C, Freq: 1800.457088 MHz
2024-08-26 08:45:17, Temp: 51.6°C, Freq: 1800.457088 MHz
2024-08-26 08:46:17, Temp: 51.6°C, Freq: 1800.457088 MHz
2024-08-26 08:47:17, Temp: 53.0°C, Freq: 1800.457088 MHz
2024-08-26 08:48:17, Temp: 51.6°C, Freq: 1800.457088 MHz
2024-08-26 08:49:17, Temp: 53.0°C, Freq: 1800.457088 MHz
2024-08-26 08:50:17, Temp: 51.6°C, Freq: 1800.457088 MHz
2024-08-26 08:51:17, Temp: 51.1°C, Freq: 1800.457088 MHz
2024-08-26 08:52:17, Temp: 51.6°C, Freq: 1800.457088 MHz
2024-08-26 08:53:17, Temp: 52.5°C, Freq: 1800.404352 MHz
2024-08-26 08:54:17, Temp: 53.0°C, Freq: 1800.404352 MHz
2024-08-26 08:55:17, Temp: 51.6°C, Freq: 1800.404352 MHz
2024-08-26 08:56:17, Temp: 52.5°C, Freq: 1800.457088 MHz
2024-08-26 08:57:17, Temp: 52.5°C, Freq: 1800.457088 MHz
2024-08-26 08:58:17, Temp: 53.0°C, Freq: 1800.404352 MHz
2024-08-26 08:59:17, Temp: 53.0°C, Freq: 1800.404352 MHz
2024-08-26 09:00:17, Temp: 52.5°C, Freq: 1800.457088 MHz
2024-08-26 09:01:17, Temp: 53.0°C, Freq: 1800.457088 MHz
2024-08-26 09:02:17, Temp: 51.6°C, Freq: 1800.457088 MHz
2024-08-26 09:03:17, Temp: 53.0°C, Freq: 1800.404352 MHz
2024-08-26 09:04:18, Temp: 53.5°C, Freq: 1800.404352 MHz
2024-08-26 09:05:18, Temp: 53.5°C, Freq: 1800.404352 MHz
2024-08-26 09:06:18, Temp: 53.0°C, Freq: 1800.457088 MHz
2024-08-26 09:07:18, Temp: 52.1°C, Freq: 1800.404352 MHz
2024-08-26 09:08:18, Temp: 54.0°C, Freq: 1800.404352 MHz
2024-08-26 09:09:18, Temp: 53.0°C, Freq: 1800.457088 MHz
2024-08-26 09:10:18, Temp: 52.5°C, Freq: 1800.404352 MHz
2024-08-26 09:11:18, Temp: 52.5°C, Freq: 1800.457088 MHz
2024-08-26 09:12:18, Temp: 53.0°C, Freq: 1800.404352 MHz
2024-08-26 09:13:18, Temp: 53.5°C, Freq: 1800.457088 MHz
2024-08-26 09:14:18, Temp: 52.1°C, Freq: 1800.457088 MHz
2024-08-26 09:15:18, Temp: 53.0°C, Freq: 1800.457088 MHz
2024-08-26 09:16:18, Temp: 53.0°C, Freq: 1800.457088 MHz
2024-08-26 09:17:18, Temp: 52.5°C, Freq: 1800.457088 MHz
2024-08-26 09:18:18, Temp: 52.5°C, Freq: 1800.404352 MHz
2024-08-26 09:19:18, Temp: 53.0°C, Freq: 1800.457088 MHz
2024-08-26 09:20:18, Temp: 53.0°C, Freq: 1800.457088 MHz
2024-08-26 09:21:18, Temp: 54.5°C, Freq: 1800.457088 MHz
2024-08-26 09:22:18, Temp: 53.5°C, Freq: 1800.457088 MHz
2024-08-26 09:23:18, Temp: 53.5°C, Freq: 1800.457088 MHz
2024-08-26 09:24:18, Temp: 53.5°C, Freq: 1800.457088 MHz
2024-08-26 09:25:18, Temp: 54.0°C, Freq: 1800.457088 MHz
2024-08-26 09:26:18, Temp: 54.0°C, Freq: 1800.457088 MHz
2024-08-26 09:27:18, Temp: 53.5°C, Freq: 1800.404352 MHz
2024-08-26 09:28:18, Temp: 53.5°C, Freq: 1800.457088 MHz
2024-08-26 09:29:18, Temp: 54.5°C, Freq: 1800.457088 MHz
2024-08-26 09:30:18, Temp: 53.0°C, Freq: 1800.404352 MHz
2024-08-26 09:31:18, Temp: 53.5°C, Freq: 1800.404352 MHz
2024-08-26 09:32:18, Temp: 53.5°C, Freq: 1800.457088 MHz
2024-08-26 09:33:18, Temp: 53.5°C, Freq: 1800.404352 MHz
2024-08-26 09:34:18, Temp: 54.0°C, Freq: 1800.457088 MHz
2024-08-26 09:35:18, Temp: 54.5°C, Freq: 1800.404352 MHz
2024-08-26 09:36:18, Temp: 53.5°C, Freq: 1800.457088 MHz
2024-08-26 09:37:19, Temp: 54.5°C, Freq: 1800.457088 MHz
2024-08-26 09:38:19, Temp: 54.5°C, Freq: 1800.404352 MHz
2024-08-26 09:39:19, Temp: 53.0°C, Freq: 1800.404352 MHz
2024-08-26 09:40:19, Temp: 54.0°C, Freq: 1800.404352 MHz
2024-08-26 09:41:19, Temp: 53.5°C, Freq: 1800.457088 MHz
2024-08-26 09:42:19, Temp: 54.0°C, Freq: 1800.404352 MHz
2024-08-26 09:43:19, Temp: 55.0°C, Freq: 1800.457088 MHz
2024-08-26 09:44:19, Temp: 54.5°C, Freq: 1800.457088 MHz
2024-08-26 09:45:19, Temp: 54.5°C, Freq: 1800.457088 MHz
2024-08-26 09:46:19, Temp: 55.5°C, Freq: 1800.404352 MHz
2024-08-26 09:47:19, Temp: 54.0°C, Freq: 1800.457088 MHz
2024-08-26 09:48:19, Temp: 54.0°C, Freq: 1800.457088 MHz
2024-08-26 09:49:19, Temp: 55.0°C, Freq: 1800.457088 MHz
2024-08-26 09:50:19, Temp: 54.5°C, Freq: 1800.457088 MHz
2024-08-26 09:51:19, Temp: 55.0°C, Freq: 1800.457088 MHz
2024-08-26 09:52:19, Temp: 54.5°C, Freq: 1800.457088 MHz
2024-08-26 09:53:19, Temp: 55.0°C, Freq: 1800.457088 MHz
2024-08-26 09:54:19, Temp: 55.5°C, Freq: 1800.457088 MHz
2024-08-26 09:55:19, Temp: 55.5°C, Freq: 1800.404352 MHz
2024-08-26 09:56:19, Temp: 56.0°C, Freq: 1800.457088 MHz
2024-08-26 09:57:19, Temp: 55.5°C, Freq: 1800.457088 MHz
2024-08-26 09:58:19, Temp: 54.5°C, Freq: 1800.404352 MHz
2024-08-26 09:59:19, Temp: 55.5°C, Freq: 1800.457088 MHz
2024-08-26 10:00:19, Temp: 55.5°C, Freq: 1800.457088 MHz
2024-08-26 10:01:20, Temp: 55.0°C, Freq: 1800.404352 MHz
2024-08-26 10:02:20, Temp: 54.5°C, Freq: 1800.457088 MHz
2024-08-26 10:03:20, Temp: 55.0°C, Freq: 1800.404352 MHz
2024-08-26 10:04:20, Temp: 55.0°C, Freq: 1800.404352 MHz
2024-08-26 10:05:20, Temp: 55.0°C, Freq: 1800.457088 MHz
2024-08-26 10:06:20, Temp: 54.5°C, Freq: 1800.457088 MHz
2024-08-26 10:07:20, Temp: 54.0°C, Freq: 1800.457088 MHz
2024-08-26 10:08:20, Temp: 56.0°C, Freq: 1800.457088 MHz
2024-08-26 10:09:20, Temp: 55.0°C, Freq: 1800.404352 MHz
2024-08-26 10:10:20, Temp: 55.5°C, Freq: 1800.457088 MHz
2024-08-26 10:11:20, Temp: 56.4°C, Freq: 1800.404352 MHz
2024-08-26 10:12:20, Temp: 56.0°C, Freq: 1800.404352 MHz
2024-08-26 10:13:20, Temp: 56.4°C, Freq: 1800.404352 MHz
2024-08-26 10:14:20, Temp: 55.5°C, Freq: 1800.457088 MHz
2024-08-26 10:15:20, Temp: 55.5°C, Freq: 1800.457088 MHz
2024-08-26 10:16:20, Temp: 56.0°C, Freq: 1800.404352 MHz
2024-08-26 10:17:20, Temp: 54.5°C, Freq: 1800.404352 MHz
2024-08-26 10:18:20, Temp: 55.5°C, Freq: 1800.404352 MHz
2024-08-26 10:19:20, Temp: 56.4°C, Freq: 1800.404352 MHz
2024-08-26 10:20:20, Temp: 56.0°C, Freq: 1800.457088 MHz
2024-08-26 10:21:20, Temp: 56.0°C, Freq: 1800.457088 MHz
2024-08-26 10:22:20, Temp: 56.0°C, Freq: 1800.404352 MHz
2024-08-26 10:23:20, Temp: 55.5°C, Freq: 1800.457088 MHz
2024-08-26 10:24:20, Temp: 56.0°C, Freq: 1800.457088 MHz
2024-08-26 10:25:20, Temp: 55.5°C, Freq: 1800.457088 MHz
2024-08-26 10:26:20, Temp: 56.4°C, Freq: 1800.457088 MHz
2024-08-26 10:27:20, Temp: 56.4°C, Freq: 1800.457088 MHz
2024-08-26 10:28:20, Temp: 56.4°C, Freq: 1800.457088 MHz
2024-08-26 10:29:20, Temp: 56.9°C, Freq: 1800.404352 MHz
2024-08-26 10:30:20, Temp: 55.0°C, Freq: 1800.404352 MHz
